                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 0.0802,                  0.825,                      1,                0.53001,             0.00026161,             0.00026161,             0.00026161
                     67,                0.08213,                 0.8425,                      1,                0.52678,             0.00025454,             0.00025454,             0.00025454
                     68,                0.08349,                   0.82,                      1,                0.53089,             0.00024747,             0.00024747,             0.00024747
                     69,                0.07725,                 0.8275,                      1,                0.52693,              0.0002404,              0.0002404,              0.0002404
                     70,                0.08245,                 0.8325,                      1,                0.52862,             0.00023334,             0.00023334,             0.00023334
                     71,                0.07243,                   0.82,                      1,                0.52702,             0.00022627,             0.00022627,             0.00022627
                     72,                0.07568,                   0.83,                      1,                0.52385,              0.0002192,              0.0002192,              0.0002192
                     73,                0.07415,                 0.8175,                      1,                0.52761,             0.00021213,             0.00021213,             0.00021213
                     74,                0.07736,                   0.83,                      1,                0.52693,             0.00020506,             0.00020506,             0.00020506
                     75,                0.07485,                   0.83,                      1,                0.52813,             0.00019799,             0.00019799,             0.00019799
                     76,                0.07762,                   0.82,                      1,                0.53117,             0.00019092,             0.00019092,             0.00019092
                     77,                 0.0789,                 0.8125,                      1,                0.52888,             0.00018385,             0.00018385,             0.00018385
                     78,                0.07787,                 0.8075,                      1,                0.52817,             0.00017679,             0.00017679,             0.00017679
                     79,                0.07539,                 0.8225,                      1,                0.52753,             0.00016972,             0.00016972,             0.00016972
                     80,                0.07441,                 0.8025,                      1,                0.53057,             0.00016265,             0.00016265,             0.00016265
                     81,                0.07347,                  0.815,                      1,                0.53155,             0.00015558,             0.00015558,             0.00015558
                     82,                0.06939,                  0.815,                      1,                0.52622,             0.00014851,             0.00014851,             0.00014851
                     83,                0.07048,                  0.825,                      1,                0.52445,             0.00014144,             0.00014144,             0.00014144
                     84,                0.06833,                  0.825,                      1,                0.52547,             0.00013437,             0.00013437,             0.00013437
                     85,                0.07108,                   0.82,                      1,                 0.5243,             0.00012731,             0.00012731,             0.00012731
                     86,                 0.0653,                 0.8175,                      1,                0.52438,             0.00012024,             0.00012024,             0.00012024
                     87,                0.06965,                 0.8275,                      1,                0.52316,             0.00011317,             0.00011317,             0.00011317
                     88,                0.07138,                   0.83,                      1,                0.52409,              0.0001061,              0.0001061,              0.0001061
                     89,                0.07244,                   0.83,                      1,                0.52276,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.06521,                 0.8275,                      1,                0.52206,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.06673,                  0.825,                      1,                0.52409,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.07189,                   0.82,                      1,                0.52539,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.06696,                  0.825,                      1,                0.52605,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.06254,                  0.825,                      1,                0.52433,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.06354,                 0.8275,                      1,                0.52537,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.06246,                 0.8275,                      1,                0.52421,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.06181,                 0.8175,                      1,                0.52479,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.06169,                   0.82,                      1,                0.52503,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.05597,                 0.8175,                      1,                0.52331,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.06173,                  0.825,                      1,                0.52216,             2.1277e-05,             2.1277e-05,             2.1277e-05
